Time,time,team,towers,team_gold,team_kills,top_kill,top_death,top_assist,top_gold,jungle_kill,jungle_death,jungle_assist,jungle_gold,mid_kill,mid_death,mid_assist,mid_gold,bot_kill,bot_death,bot_assist,bot_gold,supp_kill,supp_death,supp_assist,supp_gold
41,00:41,STM,0,3300,0,0,0,0,696,0,0,0,566,0,0,0,776,0,0,0,631,0,0,0,599
41,00:41,JDG,0,3400,0,0,0,0,736,0,0,0,566,0,0,0,776,0,0,0,696,0,0,0,631
42,00:42,STM,0,3300,0,0,0,0,700,0,0,0,570,0,0,0,780,0,0,0,635,0,0,0,602
42,00:42,JDG,0,3400,0,0,0,0,740,0,0,0,570,0,0,0,780,0,0,0,700,0,0,0,635
43,00:43,STM,0,3400,0,0,0,0,703,0,0,0,573,0,0,0,783,0,0,0,703,0,0,0,638
43,00:43,JDG,0,3500,0,0,0,0,783,0,0,0,573,0,0,0,783,0,0,0,703,0,0,0,638
44,00:44,STM,0,3400,0,0,0,0,707,0,0,0,577,0,0,0,787,0,0,0,707,0,0,0,642
44,00:44,JDG,0,3700,0,0,0,0,787,0,0,0,732,0,0,0,787,0,0,0,707,0,0,0,642
45,00:45,STM,0,3400,0,0,0,0,710,0,0,0,580,0,0,0,790,0,0,0,710,0,0,0,645
45,00:45,JDG,0,3700,0,0,0,0,790,0,0,0,736,0,0,0,780,0,0,0,710,0,0,0,645
46,00:46,STM,0,3500,0,0,0,0,714,0,0,0,584,0,0,0,834,0,0,0,714,0,0,0,649
46,00:46,JDG,0,3700,1,0,0,0,794,0,0,0,739,0,0,0,794,0,0,0,714,0,0,0,649
47,00:47,STM,0,3600,0,0,1,0,717,0,0,0,587,0,0,0,837,0,0,0,757,0,0,0,652
47,00:47,JDG,0,4200,1,1,0,0,1247,0,0,0,743,0,0,0,797,0,0,0,717,0,0,0,652
48,00:48,STM,0,3600,0,0,1,0,721,0,0,0,591,0,0,0,841,0,0,0,761,0,0,0,656
48,00:48,JDG,0,4200,1,1,0,0,1251,0,0,0,746,0,0,0,801,0,0,0,721,0,0,0,656
49,00:49,STM,0,3700,0,0,1,0,724,0,0,0,750,0,0,0,844,0,0,0,764,0,0,0,659
49,00:49,JDG,0,4300,1,1,0,0,1254,0,0,0,750,0,0,0,804,0,0,0,764,0,0,0,679
50,00:50,STM,0,3800,0,0,1,0,728,0,0,0,753,0,0,0,913,0,0,0,768,0,0,0,663
50,00:50,JDG,0,4300,1,1,0,0,1258,0,0,0,753,0,0,0,873,0,0,0,768,0,0,0,683
51,00:51,STM,0,3800,0,0,1,0,731,0,0,0,757,0,0,0,916,0,0,0,771,0,0,0,666
